2025-10-08 18:31:34 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:35 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:35 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:36 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:36 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:37 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:37 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:38 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:38 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:39 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:39 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:40 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
[MD] POLL appended bar 2025-10-08 18:31:35-05:00 close=6811.50 total=364
2025-10-08 18:31:40 INFO [HB] active | src=POLL dayR=0.00 open=0 tradesToday=0 bars=364 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:41 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:42 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:42 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:43 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:43 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:44 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:44 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:45 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:45 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:46 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:46 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:47 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:47 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:31:48 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
