timestamp,R,side,arm,hold_secs,adx,bbbw,atrp
17:07:05,-1.00,SHORT,trend,417,45.28,0.000748,0.000113
17:20:47,-1.00,SHORT,breakout,817,30.88,0.000510,0.000185
17:27:00,-1.00,LONG,trend,372,32.03,0.000876,0.000147
