timestamp,R,side,arm,hold_secs,adx,bbbw,atrp
07:05:03,-1.00,LONG,trend,291,24.74,0.001061,0.000158
08:03:59,-1.00,LONG,trend,3531,22.41,0.000933,0.000146
08:32:31,-1.00,SHORT,trend,1051,19.74,0.000841,0.000167
08:43:16,-1.00,SHORT,trend,639,38.38,0.002220,0.000252
11:00:14,-1.00,SHORT,trend,1568,41.46,0.000931,0.000351
