Time,Action,OrderType,Qty,RefPx,Extra,StrategyTag
2025-08-14 17:41:06.920848+00:00,SELL,MKT_FAIL,1,6482.75,Not connected,LIVE
2025-08-14 18:01:06.758776+00:00,BUY,MKT_FAIL,1,6485.75,Not connected,LIVE
2025-08-14 18:01:06.761304+00:00,BUY,MKT_FAIL,1,6485.75,Not connected,LIVE
2025-08-14 18:03:06.974260+00:00,SELL,MKT_FAIL,1,6484.25,Not connected,LIVE
2025-08-14 18:03:06.977049+00:00,SELL,MKT_FAIL,1,6484.25,Not connected,LIVE
2025-08-14 18:08:07.026717+00:00,BUY,MKT_FAIL,1,6486.75,Not connected,LIVE
2025-08-14 18:08:07.028257+00:00,BUY,MKT_FAIL,1,6486.75,Not connected,LIVE
2025-08-14 18:11:07.105608+00:00,SELL,MKT_FAIL,1,6483.5,Not connected,LIVE
2025-08-14 18:11:07.108611+00:00,SELL,MKT_FAIL,1,6483.5,Not connected,LIVE
2025-08-14 18:41:07.632017+00:00,BUY,MKT_FAIL,1,6484.5,Not connected,LIVE
2025-08-14 18:41:07.633545+00:00,BUY,MKT_FAIL,1,6484.5,Not connected,LIVE
2025-08-14 18:44:37.710034+00:00,SELL,MKT_FAIL,1,6485.75,Not connected,LIVE
