Time,EMA_Fast,EMA_Slow,RSI,Signal,PosBefore,PosAfter,StrategyTag
2025-08-19 15:06:00+00:00,6447.001952068349,6450.297383959991,33.55329830455466,,0,0,LIVE
2025-08-19 15:07:00+00:00,6447.001518275383,6449.983347392373,39.147319319670615,,0,0,LIVE
2025-08-19 15:08:00+00:00,6447.056736436409,6449.723028593099,39.82923533829684,,0,0,LIVE
2025-08-19 15:09:00+00:00,6447.266350561651,6449.5589306318525,41.93154827424982,,0,0,LIVE
2025-08-19 15:10:00+00:00,6446.818272659061,6449.148556285962,36.8478465855291,,0,0,LIVE
2025-08-19 15:11:00+00:00,6446.636434290381,6448.848693782536,39.01927248711636,,0,0,LIVE
2025-08-19 15:12:00+00:00,6446.161671114741,6448.434532469913,36.328834455624474,,0,0,LIVE
2025-08-19 15:13:00+00:00,6446.736855311466,6448.464576996588,47.396179861526235,,0,0,LIVE
2025-08-19 15:14:00+00:00,6447.184220797807,6448.491760139771,47.396179861526235,,0,0,LIVE
2025-08-19 15:15:00+00:00,6447.309949509406,6448.421116316936,45.249841615729,,0,0,LIVE
