EntryTime,ExitTime,Side,EntryPrice,ExitPrice,Qty,Fees,GrossPnL,NetPnL,Strategy,WF_TrainStart,WF_TrainEnd,WF_TestStart,WF_TestEnd,WF_Step
2023-01-15 14:00:00,2023-01-21,LONG,4175.5,4235.0,1.0,0.0,59.5,59.5,trend following,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-02-05 14:00:00,2023-02-11,LONG,4427.5,4491.0,1.0,0.0,63.5,63.5,trend following,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
