Time,Playbook,Side,Close,Context
2025-09-02 17:18:00+0000,trend,SHORT,6390.0,trendH/volM/bandM|mid
2025-09-02 17:19:00+0000,trend,LONG,6392.25,trendM/volM/bandM|mid
