Time,Open,High,Low,Close,Volume
2025-08-26 22:00:00+0000,6486.75,6487.5,6485.0,6487.0,702.0
2025-08-26 22:01:00+0000,6487.5,6488.75,6487.0,6487.5,1043.0
2025-08-26 22:02:00+0000,6487.5,6488.5,6487.0,6487.5,167.0
2025-08-26 22:03:00+0000,6487.5,6488.0,6487.25,6487.5,139.0
2025-08-26 22:04:00+0000,6487.75,6487.75,6487.0,6487.25,106.0
2025-08-26 22:05:00+0000,6487.5,6487.75,6487.0,6487.25,205.0
2025-08-26 22:06:00+0000,6487.25,6487.25,6486.5,6487.0,113.0
2025-08-26 22:07:00+0000,6487.25,6487.25,6487.0,6487.0,29.0
2025-08-26 22:08:00+0000,6487.0,6487.0,6486.75,6486.75,38.0
2025-08-26 22:09:00+0000,6486.5,6487.0,6486.5,6486.75,23.0
2025-08-26 22:10:00+0000,6486.5,6487.0,6486.5,6487.0,46.0
2025-08-26 22:11:00+0000,6487.0,6487.25,6487.0,6487.25,32.0
2025-08-26 22:12:00+0000,6487.0,6487.75,6487.0,6487.5,93.0
2025-08-26 22:13:00+0000,6487.5,6488.0,6487.5,6487.5,109.0
2025-08-26 22:14:00+0000,6487.75,6488.0,6487.75,6488.0,39.0
2025-08-26 22:15:00+0000,6488.0,6488.0,6487.5,6487.5,63.0
2025-08-26 22:16:00+0000,6487.25,6488.25,6487.25,6487.75,183.0
2025-08-26 22:17:00+0000,6487.75,6488.0,6487.5,6487.5,47.0
2025-08-26 22:18:00+0000,6487.75,6487.75,6487.0,6487.0,71.0
2025-08-26 22:19:00+0000,6486.75,6487.0,6485.75,6486.75,242.0
2025-08-26 22:20:00+0000,6486.5,6486.75,6486.5,6486.75,15.0
2025-08-26 22:21:00+0000,6486.5,6487.0,6486.25,6487.0,36.0
2025-08-26 22:22:00+0000,6487.0,6487.0,6486.75,6487.0,32.0
2025-08-26 22:23:00+0000,6487.0,6487.5,6487.0,6487.5,63.0
2025-08-26 22:24:00+0000,6487.25,6487.5,6487.25,6487.25,12.0
2025-08-26 22:25:00+0000,6487.25,6487.25,6487.25,6487.25,26.0
2025-08-26 22:26:00+0000,6487.25,6487.25,6486.25,6486.5,75.0
2025-08-26 22:27:00+0000,6486.5,6486.75,6486.5,6486.5,29.0
2025-08-26 22:28:00+0000,6486.5,6486.75,6486.25,6486.25,17.0
2025-08-26 22:29:00+0000,6486.25,6487.25,6486.25,6487.0,154.0
2025-08-26 22:30:00+0000,6487.25,6487.25,6486.5,6487.0,45.0
2025-08-26 22:31:00+0000,6487.25,6487.75,6487.25,6487.5,28.0
2025-08-26 22:32:00+0000,6487.5,6488.0,6487.5,6487.75,48.0
2025-08-26 22:33:00+0000,6487.75,6488.0,6487.5,6487.5,43.0
2025-08-26 22:34:00+0000,6487.75,6487.75,6487.5,6487.5,36.0
2025-08-26 22:35:00+0000,6487.75,6488.0,6487.75,6488.0,41.0
2025-08-26 22:36:00+0000,6488.0,6488.0,6487.25,6487.5,68.0
2025-08-26 22:37:00+0000,6487.5,6487.75,6487.5,6487.5,22.0
2025-08-26 22:38:00+0000,6487.5,6487.5,6487.25,6487.25,14.0
2025-08-26 22:39:00+0000,6487.25,6487.5,6487.0,6487.25,27.0
2025-08-26 22:40:00+0000,6487.25,6487.25,6487.25,6487.25,17.0
2025-08-26 22:41:00+0000,6487.25,6487.25,6487.25,6487.25,15.0
2025-08-26 22:42:00+0000,6487.25,6487.5,6487.25,6487.5,22.0
2025-08-26 22:43:00+0000,6487.25,6487.25,6487.0,6487.25,31.0
2025-08-26 22:44:00+0000,6487.5,6487.5,6487.25,6487.5,36.0
2025-08-26 22:45:00+0000,6487.75,6487.75,6487.25,6487.5,11.0
2025-08-26 22:46:00+0000,6487.5,6487.5,6487.25,6487.25,22.0
2025-08-26 22:47:00+0000,6487.25,6487.5,6487.25,6487.5,6.0
2025-08-26 22:48:00+0000,6487.25,6487.25,6487.0,6487.25,18.0
