[2025-08-22 13:17:11] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.2 | Sprd=1.0
[2025-08-22 13:18:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.2 | Sprd=1.0
[2025-08-22 13:19:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=5.9 | Sprd=1.0
[2025-08-22 13:20:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=5.7 | Sprd=1.0
[2025-08-22 13:21:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.1 | Sprd=1.0
[2025-08-22 13:22:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.2 | Sprd=1.0
[2025-08-22 13:23:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.2 | Sprd=1.0
[2025-08-22 13:24:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.1 | Sprd=1.0
[2025-08-22 13:25:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.3 | Sprd=1.0
[2025-08-22 13:26:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=5.9 | Sprd=1.0
[2025-08-22 13:27:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.2 | Sprd=1.0
[2025-08-22 13:28:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.2 | Sprd=1.0
[2025-08-22 13:29:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.5 | Sprd=1.0
[2025-08-22 13:30:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.6 | Sprd=1.0
[2025-08-22 13:31:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=7.0 | Sprd=1.0
[2025-08-22 13:32:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.9 | Sprd=1.0
[2025-08-22 13:33:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.6 | Sprd=1.0
[2025-08-22 13:34:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.6 | Sprd=1.0
[2025-08-22 13:35:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.0 | Sprd=1.0
[2025-08-22 13:36:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.1 | Sprd=1.0
[2025-08-22 13:37:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.1 | Sprd=1.0
[2025-08-22 13:38:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.3 | Sprd=1.0
[2025-08-22 13:39:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.7 | Sprd=1.0
[2025-08-22 13:40:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.6 | Sprd=1.0
[2025-08-22 13:41:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.6 | Sprd=1.0
[2025-08-22 13:42:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.6 | Sprd=1.0
[2025-08-22 13:43:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.6 | Sprd=1.0
[2025-08-22 13:44:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.6 | Sprd=1.0
[2025-08-22 13:45:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.4 | Sprd=1.0
[2025-08-22 13:46:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=6.4 | Sprd=1.0
[2025-08-22 13:46:13] DISCONNECTED
