MinuteUTC,MinuteCT,side,Close,ema8,ema20,ADX,BBbw,ATR%,ATRticks,RegimeOK,HTF_OK,HB_ATRt,HB_Sprd,ATR_gate,Spread_gate,MinStopOK,StopTicks,Blocked_raw,Reasons
2025-08-21 13:31:00+00:00,2025-08-21 08:31:00-05:00,SELL,6385.75,6389.715972246702,6389.872063361131,21.088673859565848,0.0014767862957224846,0.00040827512150379475,10.428571428571429,False,,,,False,False,True,18.77142857142826,,Regime
2025-08-21 13:32:00+00:00,2025-08-21 08:32:00-05:00,BUY,6393.0,6390.445756191879,6390.169962088643,20.772746543775916,0.0015256171398823233,0.0004832294250407812,12.357142857142858,False,,,,False,False,True,22.242857142857247,,Regime
2025-08-21 13:45:00+00:00,2025-08-21 08:45:00-05:00,SELL,6381.75,6390.367718824007,6391.285417418594,15.968479328579958,0.002329410776203875,0.0008058694155767843,20.571428571428573,True,,,,False,False,True,37.02857142857101,,
2025-08-21 14:02:00+00:00,2025-08-21 09:02:00-05:00,BUY,6399.5,6391.028338959126,6389.713306941982,15.552264088567657,0.0029926682744252356,0.000865022937059815,22.142857142857142,True,,,,False,False,True,39.8571428571413,,
2025-08-21 14:36:00+00:00,2025-08-21 09:36:00-05:00,SELL,6403.75,6405.343282450485,6405.584938819623,16.229932792619355,0.0013205130332224347,0.00044616714536683307,11.428571428571429,False,,,,False,False,True,20.571428571427532,,Regime
2025-08-21 14:56:00+00:00,2025-08-21 09:56:00-05:00,BUY,6404.0,6400.765050193096,6400.463886837646,17.854350764380428,0.00161230466193809,0.0005353796734183992,13.714285714285714,False,,,,False,False,True,24.68571428571522,,Regime
2025-08-21 15:06:00+00:00,2025-08-21 10:06:00-05:00,SELL,6400.25,6401.845766692357,6401.883930166415,17.628211800244166,0.0018218338148649263,0.0004687316901683528,12.0,False,,,,False,False,True,21.599999999998545,,Regime
2025-08-21 15:23:00+00:00,2025-08-21 10:23:00-05:00,BUY,6404.5,6396.418701377199,6396.2643289911,28.313137630450278,0.002956133134204967,0.0006524430367041031,16.714285714285715,True,,,,False,False,True,30.08571428571304,,
2025-08-21 15:49:00+00:00,2025-08-21 10:49:00-05:00,SELL,6401.75,6403.06409590472,6403.140261965859,15.802459201592896,0.0014017610757579566,0.00037099230679111183,9.5,False,,,,False,False,True,17.099999999998545,,Regime
2025-08-21 16:18:00+00:00,2025-08-21 11:18:00-05:00,BUY,6389.75,6388.37144009067,6388.294435604994,31.244392246942862,0.0015834471703798387,0.00041081419460855276,10.5,False,,,,False,False,True,18.900000000001455,,Regime
2025-08-21 16:26:00+00:00,2025-08-21 11:26:00-05:00,SELL,6383.25,6387.604025721405,6388.125284695988,25.499627874697453,0.0015972490009807617,0.00041403002277165123,10.571428571428571,False,,,,False,False,True,19.028571428571013,,Regime
2025-08-21 16:41:00+00:00,2025-08-21 11:41:00-05:00,BUY,6389.5,6386.44458213703,6386.269737466719,19.184136138496843,0.0014763836910155002,0.0004890836528679865,12.5,False,,,,False,False,True,22.5,,Regime
2025-08-21 16:47:00+00:00,2025-08-21 11:47:00-05:00,SELL,6385.25,6386.388305839857,6386.394796329431,14.176081959601945,0.0011240915239892233,0.000439069954750625,11.214285714285714,False,,,,False,False,True,20.18571428571522,,Regime
2025-08-21 16:51:00+00:00,2025-08-21 11:51:00-05:00,BUY,6388.75,6386.571303508839,6386.379668206395,13.498323404842544,0.0011286369432544168,0.00042485395645246946,10.857142857142858,False,,,,False,False,True,19.54285714285652,,Regime
2025-08-21 16:58:00+00:00,2025-08-21 11:58:00-05:00,SELL,6378.75,6385.886374343128,6386.685653371715,16.535860425942374,0.0018334092298236064,0.00044791579183113577,11.428571428571429,False,,,,False,False,True,20.571428571427532,,Regime
2025-08-21 17:33:00+00:00,2025-08-21 12:33:00-05:00,BUY,6380.75,6378.085576405942,6377.735151345652,26.568825980625867,0.0016717137548076558,0.00044497679963730193,11.357142857142858,False,,,,False,False,True,20.442857142857974,,Regime
2025-08-21 18:10:00+00:00,2025-08-21 13:10:00-05:00,SELL,6388.0,6389.829055907267,6390.052976086881,19.132874008581265,0.0008603206145075995,0.00032426871813221223,8.285714285714286,False,,,,False,False,True,14.914285714286962,,Regime
2025-08-21 18:14:00+00:00,2025-08-21 13:14:00-05:00,BUY,6391.25,6390.147471914852,6390.080346648868,18.194640515247222,0.0008056717427901615,0.00032130982649269366,8.214285714285714,False,,,,False,False,True,14.785714285713766,,Regime
2025-08-21 18:28:00+00:00,2025-08-21 13:28:00-05:00,SELL,6389.0,6390.942332132048,6391.10392718678,13.070747229571023,0.0010191754589050613,0.000304653086778615,7.785714285714286,False,,,,False,False,True,14.014285714285506,,Regime
2025-08-21 18:38:00+00:00,2025-08-21 13:38:00-05:00,BUY,6390.75,6390.037259389655,6389.947602872702,17.92115019020665,0.0014105026441404327,0.00037442508983407936,9.571428571428571,False,,,,False,False,True,17.22857142857174,,Regime
2025-08-21 18:43:00+00:00,2025-08-21 13:43:00-05:00,SELL,6388.25,6389.910730385984,6390.028676574231,15.212026748587858,0.0012857840076120756,0.00036898099747862984,9.428571428571429,False,,,,False,False,True,16.971428571428987,,Regime
2025-08-21 18:52:00+00:00,2025-08-21 13:52:00-05:00,BUY,6391.75,6389.046114615995,6388.981738968222,18.208847282087973,0.001345010467098931,0.0003380473713324654,8.642857142857142,False,,,,False,False,True,15.557142857142026,,Regime
2025-08-21 19:21:00+00:00,2025-08-21 14:21:00-05:00,SELL,6393.5,6394.180642299351,6394.241846653671,14.40688583912491,0.0005691618118904469,0.00025975041615926894,6.642857142857143,False,,6.6,1.0,False,False,True,11.95714285714348,no,Regime
2025-08-21 19:24:00+00:00,2025-08-21 14:24:00-05:00,BUY,6395.0,6394.3360223713,6394.280512492985,12.743313576364715,0.000586095395582579,0.0002485200491455378,6.357142857142857,False,,6.6,1.0,False,False,True,11.442857142857974,no,Regime
2025-08-21 19:27:00+00:00,2025-08-21 14:27:00-05:00,SELL,6392.75,6393.9715441335475,6394.145128516292,12.079783879652524,0.0005842957422647438,0.0002486075185617636,6.357142857142857,False,,6.2,1.0,False,False,True,11.442857142857974,no,Regime
2025-08-21 19:55:00+00:00,2025-08-21 14:55:00-05:00,BUY,6391.0,6389.000390474272,6388.678743307723,20.66549844664685,0.0010465449032540642,0.00035485168875874556,9.071428571428571,False,,9.3,1.0,False,False,True,16.328571428570285,no,Regime
2025-08-21 19:58:00+00:00,2025-08-21 14:58:00-05:00,SELL,6384.5,6387.712117877469,6388.198088796856,19.64035829471778,0.0011471228399343762,0.0004083550563306222,10.428571428571429,False,,,,False,False,True,18.77142857142826,,Regime
