[2025-08-20 12:26:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=12.4 | Sprd=1.0
[2025-08-20 12:27:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=11.7 | Sprd=1.0
[2025-08-20 12:28:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=11.7 | Sprd=1.0
[2025-08-20 12:29:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=12.0 | Sprd=1.0
[2025-08-20 12:30:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=11.6 | Sprd=1.0
[2025-08-20 12:31:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=10.9 | Sprd=1.0
[2025-08-20 12:32:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=10.3 | Sprd=1.0
[2025-08-20 12:33:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=10.6 | Sprd=1.0
[2025-08-20 12:34:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=10.3 | Sprd=1.0
[2025-08-20 12:35:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=10.4 | Sprd=1.0
[2025-08-20 12:36:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=10.4 | Sprd=1.0
[2025-08-20 12:37:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=9.8 | Sprd=1.0
[2025-08-20 12:38:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=10.2 | Sprd=1.0
[2025-08-20 12:39:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=10.4 | Sprd=1.0
[2025-08-20 12:40:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=10.2 | Sprd=1.0
[2025-08-20 12:41:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=10.5 | Sprd=1.0
[2025-08-20 12:42:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=10.4 | Sprd=1.0
