Time,Open,High,Low,Close
2025-08-20 05:45:00-05:00,6422.75,6422.75,6422.75,6422.75
2025-08-20 05:46:00-05:00,6422.75,6423.0,6422.5,6423.0
2025-08-20 05:47:00-05:00,6423.0,6424.5,6423.0,6423.75
2025-08-20 05:48:00-05:00,6423.5,6423.5,6422.75,6423.0
2025-08-20 05:49:00-05:00,6423.0,6423.5,6422.75,6423.5
2025-08-20 05:50:00-05:00,6423.75,6424.0,6423.5,6423.5
2025-08-20 05:51:00-05:00,6423.5,6424.0,6423.5,6423.75
2025-08-20 05:52:00-05:00,6424.0,6424.25,6423.75,6424.25
2025-08-20 05:53:00-05:00,6424.0,6424.25,6424.0,6424.0
2025-08-20 05:54:00-05:00,6424.0,6424.75,6423.75,6424.25
2025-08-20 05:55:00-05:00,6424.0,6424.5,6424.0,6424.0
2025-08-20 05:56:00-05:00,6424.0,6425.0,6423.75,6425.0
2025-08-20 05:57:00-05:00,6424.75,6425.5,6424.5,6425.0
2025-08-20 05:58:00-05:00,6425.0,6425.5,6424.75,6425.0
2025-08-20 05:59:00-05:00,6425.0,6425.5,6424.75,6425.25
2025-08-20 06:00:00-05:00,6425.0,6425.75,6424.25,6424.5
2025-08-20 06:01:00-05:00,6424.5,6426.75,6424.5,6426.25
2025-08-20 06:02:00-05:00,6426.5,6429.0,6426.25,6428.0
2025-08-20 06:03:00-05:00,6427.75,6428.5,6427.25,6428.25
2025-08-20 06:04:00-05:00,6428.25,6429.75,6427.75,6429.0
2025-08-20 06:05:00-05:00,6428.75,6428.75,6428.0,6428.0
2025-08-20 06:06:00-05:00,6428.25,6428.5,6427.5,6427.5
2025-08-20 06:07:00-05:00,6427.5,6428.5,6427.25,6427.75
2025-08-20 06:08:00-05:00,6427.5,6428.0,6427.25,6427.5
2025-08-20 06:09:00-05:00,6427.25,6428.0,6427.25,6427.5
2025-08-20 06:10:00-05:00,6427.5,6428.25,6427.25,6428.0
2025-08-20 06:11:00-05:00,6427.75,6428.5,6427.5,6428.0
2025-08-20 06:12:00-05:00,6428.0,6428.0,6427.25,6427.75
2025-08-20 06:13:00-05:00,6427.75,6428.0,6427.75,6427.75
2025-08-20 06:14:00-05:00,6428.0,6428.5,6428.0,6428.0
2025-08-20 06:15:00-05:00,6428.0,6428.0,6426.75,6426.75
2025-08-20 06:16:00-05:00,6427.0,6427.25,6426.0,6426.5
2025-08-20 06:17:00-05:00,6426.5,6427.0,6426.0,6426.0
2025-08-20 06:18:00-05:00,6425.75,6426.0,6425.0,6425.25
2025-08-20 06:19:00-05:00,6425.25,6426.25,6425.25,6426.25
2025-08-20 06:20:00-05:00,6426.0,6427.5,6426.0,6426.75
2025-08-20 06:21:00-05:00,6426.75,6426.75,6426.0,6426.0
2025-08-20 06:22:00-05:00,6425.75,6426.25,6425.75,6425.75
2025-08-20 06:23:00-05:00,6426.0,6426.5,6425.25,6426.5
2025-08-20 06:24:00-05:00,6426.5,6426.5,6425.5,6425.5
2025-08-20 06:25:00-05:00,6425.5,6426.0,6425.5,6426.0
2025-08-20 06:26:00-05:00,6425.75,6425.75,6425.0,6425.0
2025-08-20 06:27:00-05:00,6425.0,6425.5,6424.0,6424.0
2025-08-20 06:28:00-05:00,6424.0,6424.5,6422.25,6422.25
2025-08-20 06:29:00-05:00,6422.5,6423.25,6422.25,6422.5
2025-08-20 06:30:00-05:00,6422.5,6424.0,6422.5,6423.25
2025-08-20 06:31:00-05:00,6423.25,6424.0,6422.5,6424.0
2025-08-20 06:32:00-05:00,6424.25,6424.25,6423.5,6423.75
2025-08-20 06:33:00-05:00,6423.75,6424.0,6423.75,6424.0
2025-08-20 06:34:00-05:00,6423.75,6423.75,6422.5,6423.0
2025-08-20 06:35:00-05:00,6423.0,6423.75,6422.0,6422.0
2025-08-20 06:36:00-05:00,6422.25,6422.5,6421.25,6421.25
2025-08-20 06:37:00-05:00,6421.5,6421.5,6420.5,6420.5
2025-08-20 06:38:00-05:00,6420.75,6421.5,6420.0,6420.0
2025-08-20 06:39:00-05:00,6420.25,6421.0,6419.75,6419.75
2025-08-20 06:40:00-05:00,6419.75,6420.75,6419.75,6420.25
2025-08-20 06:41:00-05:00,6420.25,6422.0,6419.5,6421.5
2025-08-20 06:42:00-05:00,6421.5,6421.75,6421.0,6421.5
2025-08-20 06:43:00-05:00,6421.25,6421.75,6421.0,6421.5
2025-08-20 06:44:00-05:00,6421.5,6421.75,6420.75,6421.0
2025-08-20 06:45:00-05:00,6421.0,6421.25,6420.75,6421.0
2025-08-20 06:46:00-05:00,6421.25,6421.25,6420.5,6420.75
2025-08-20 06:47:00-05:00,6420.75,6420.75,6419.75,6420.0
2025-08-20 06:48:00-05:00,6420.0,6420.75,6418.5,6419.5
2025-08-20 06:49:00-05:00,6419.25,6421.5,6418.75,6421.5
2025-08-20 06:50:00-05:00,6421.75,6424.0,6421.75,6423.75
2025-08-20 06:51:00-05:00,6423.75,6425.0,6423.75,6424.5
2025-08-20 06:52:00-05:00,6424.5,6425.75,6424.5,6425.75
2025-08-20 06:53:00-05:00,6426.0,6426.25,6424.5,6425.0
2025-08-20 06:54:00-05:00,6425.0,6425.25,6423.5,6423.75
2025-08-20 06:55:00-05:00,6423.75,6424.5,6423.5,6424.5
2025-08-20 06:56:00-05:00,6424.5,6424.75,6424.0,6424.25
2025-08-20 06:57:00-05:00,6424.25,6424.5,6423.25,6424.0
2025-08-20 06:58:00-05:00,6424.25,6425.25,6424.0,6425.0
2025-08-20 06:59:00-05:00,6424.75,6424.75,6423.75,6424.25
2025-08-20 07:00:00-05:00,6424.25,6425.5,6424.0,6425.5
2025-08-20 07:01:00-05:00,6425.5,6427.0,6425.25,6426.5
2025-08-20 07:02:00-05:00,6426.75,6427.75,6426.0,6426.25
2025-08-20 07:03:00-05:00,6426.25,6426.5,6425.75,6426.25
2025-08-20 07:04:00-05:00,6426.25,6427.5,6426.0,6427.25
