Time,Open,High,Low,Close,Volume
2025-08-25 10:10:00+0000,6469.25,6469.25,6469.25,6469.25,0.0
2025-08-25 10:11:00+0000,6469.0,6469.25,6469.0,6469.0,123.0
2025-08-25 10:12:00+0000,6468.75,6468.75,6468.5,6468.5,52.0
2025-08-25 10:13:00+0000,6468.25,6468.5,6468.0,6468.0,107.0
2025-08-25 10:14:00+0000,6468.0,6468.0,6467.75,6468.0,56.0
2025-08-25 10:15:00+0000,6467.75,6467.75,6467.5,6467.5,72.0
2025-08-25 10:16:00+0000,6467.5,6467.5,6467.0,6467.25,104.0
2025-08-25 10:17:00+0000,6467.0,6467.5,6466.75,6466.75,142.0
2025-08-25 10:18:00+0000,6467.0,6467.0,6466.5,6467.0,285.0
2025-08-25 10:19:00+0000,6467.0,6467.0,6467.0,6467.0,32.0
2025-08-25 10:20:00+0000,6466.75,6467.0,6466.0,6466.25,359.0
2025-08-25 10:21:00+0000,6466.25,6466.25,6466.0,6466.25,134.0
2025-08-25 10:22:00+0000,6466.5,6466.75,6466.25,6466.5,39.0
2025-08-25 10:23:00+0000,6466.5,6466.5,6466.25,6466.5,51.0
2025-08-25 10:24:00+0000,6466.75,6466.75,6465.25,6465.5,171.0
2025-08-25 10:25:00+0000,6465.25,6465.75,6465.25,6465.75,118.0
2025-08-25 10:26:00+0000,6465.75,6465.75,6465.0,6465.25,155.0
2025-08-25 10:27:00+0000,6465.25,6465.5,6464.5,6465.0,412.0
2025-08-25 10:28:00+0000,6465.0,6465.25,6464.75,6464.75,108.0
2025-08-25 10:29:00+0000,6464.75,6465.0,6463.5,6464.75,473.0
2025-08-25 10:30:00+0000,6464.5,6464.5,6463.75,6463.75,283.0
2025-08-25 10:31:00+0000,6463.75,6464.25,6462.5,6464.25,1102.0
2025-08-25 10:32:00+0000,6464.25,6464.5,6463.5,6464.0,481.0
2025-08-25 10:33:00+0000,6464.0,6464.5,6463.75,6464.5,121.0
2025-08-25 10:34:00+0000,6464.5,6464.75,6464.0,6464.5,136.0
