[2025-08-21 09:07:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=18.6 | Sprd=1.0
[2025-08-21 09:08:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=18.6 | Sprd=1.0
[2025-08-21 09:09:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=17.6 | Sprd=1.0
[2025-08-21 09:10:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=17.6 | Sprd=1.0
[2025-08-21 09:11:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=17.2 | Sprd=1.0
[2025-08-21 09:12:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=17.2 | Sprd=1.0
[2025-08-21 09:13:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=17.6 | Sprd=1.0
[2025-08-21 09:14:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=14.9 | Sprd=1.0
[2025-08-21 09:15:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=13.9 | Sprd=1.0
[2025-08-21 09:16:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=12.9 | Sprd=1.0
[2025-08-21 09:17:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=13.1 | Sprd=1.0
[2025-08-21 09:18:05] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=13.6 | Sprd=1.0
[2025-08-21 09:19:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=13.6 | Sprd=1.0
[2025-08-21 09:20:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=13.8 | Sprd=1.0
[2025-08-21 09:21:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=12.8 | Sprd=1.0
[2025-08-21 09:22:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=12.6 | Sprd=1.0
[2025-08-21 09:23:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=12.1 | Sprd=1.0
[2025-08-21 09:24:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=12.2 | Sprd=1.0
[2025-08-21 09:25:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=11.9 | Sprd=1.0
[2025-08-21 09:26:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=12.6 | Sprd=1.0
[2025-08-21 09:27:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=12.1 | Sprd=1.0
[2025-08-21 09:28:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=12.3 | Sprd=1.0
[2025-08-21 09:29:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=11.9 | Sprd=1.0
[2025-08-21 09:30:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=12.1 | Sprd=1.0
[2025-08-21 09:31:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=12.1 | Sprd=1.0
[2025-08-21 09:32:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=11.7 | Sprd=1.0
[2025-08-21 09:33:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=11.6 | Sprd=1.0
[2025-08-21 09:34:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=11.4 | Sprd=1.0
