Time,EMA_Fast,EMA_Slow,RSI,Signal,PosBefore,PosAfter,StrategyTag
2025-08-22 15:56:00+00:00,6488.550202771519,6489.650635736856,38.86479607692699,,0,0,LIVE
2025-08-22 15:57:00+00:00,6488.316824377849,6489.445813285727,41.95909012170383,,0,0,LIVE
2025-08-22 15:58:00+00:00,6487.85753007166,6489.141450115658,38.46473975753451,,0,0,LIVE
2025-08-22 15:59:00+00:00,6487.2225233890695,6488.747026295119,35.29891797995282,,0,0,LIVE
2025-08-22 16:00:00+00:00,6486.617518191499,6488.342547600346,34.09027282508646,,0,0,LIVE
2025-08-22 16:01:00+00:00,6487.202514148944,6488.428971638408,51.188989309188294,,0,0,LIVE
2025-08-22 16:02:00+00:00,6487.8241776714,6488.578593387132,53.25121713576268,,0,0,LIVE
2025-08-22 16:03:00+00:00,6488.307693744422,6488.7139654455,53.25121713576268,,0,0,LIVE
2025-08-22 16:04:00+00:00,6488.628206245661,6488.812635403072,52.395440451525275,,0,0,LIVE
2025-08-22 16:05:00+00:00,6488.82193819107,6488.878098698017,51.50407219741585,,0,0,LIVE
2025-08-22 16:06:00+00:00,6488.472618593055,6488.723041679158,44.21372854578526,,0,0,LIVE
2025-08-22 16:07:00+00:00,6488.478703350153,6488.701799614476,48.56926212082437,,0,0,LIVE
2025-08-22 16:08:00+00:00,6488.150102605675,6488.539723460716,44.117882629942144,,0,0,LIVE
2025-08-22 16:09:00+00:00,6487.894524248858,6488.3930831311245,44.117882629942144,,0,0,LIVE
2025-08-22 16:10:00+00:00,6487.695741082445,6488.260408547208,44.117882629942144,,0,0,LIVE
2025-08-22 16:11:00+00:00,6487.596687508569,6488.164179161759,45.16405027457268,,0,0,LIVE
2025-08-22 16:12:00+00:00,6487.186312506664,6487.93425733683,40.29028404876498,,0,0,LIVE
2025-08-22 16:13:00+00:00,6486.422687505183,6487.535756638084,34.884833631842895,,0,0,LIVE
2025-08-22 16:14:00+00:00,6486.162090281809,6487.318065529696,41.25100000368242,,0,0,LIVE
2025-08-22 16:15:00+00:00,6485.68162577474,6487.002059288772,37.9235731536192,,0,0,LIVE
2025-08-22 16:16:00+00:00,6484.363486713686,6486.311386975556,29.276689695102064,,0,0,LIVE
2025-08-22 16:17:00+00:00,6483.171600777311,6485.6150644064555,28.06076446233483,,0,0,LIVE
2025-08-22 16:18:00+00:00,6482.466800604576,6485.080296367745,32.109481690038265,,0,0,LIVE
2025-08-22 16:19:00+00:00,6482.363067136892,6484.786934808912,39.449302485331174,,0,0,LIVE
2025-08-22 16:20:00+00:00,6482.337941106472,6484.5453219699675,40.31789318370662,,0,0,LIVE
2025-08-22 16:21:00+00:00,6482.596176416144,6484.445767496638,44.59728232483445,,0,0,LIVE
2025-08-22 16:22:00+00:00,6483.130359434779,6484.498551544577,49.295667662683684,,0,0,LIVE
2025-08-22 16:23:00+00:00,6483.434724004828,6484.498689492712,47.839316982712724,,0,0,LIVE
2025-08-22 16:24:00+00:00,6483.1158964482,6484.260719064835,41.27357273889496,,0,0,LIVE
2025-08-22 16:25:00+00:00,6482.423475015267,6483.854936296755,36.909321685908154,,0,0,LIVE
2025-08-22 16:26:00+00:00,6481.496036122986,6483.321132839922,33.564936944322326,,0,0,LIVE
2025-08-22 16:27:00+00:00,6480.996916984544,6482.933405902787,37.07373794902339,,0,0,LIVE
2025-08-22 16:28:00+00:00,6480.330935432424,6482.463557721569,34.612841512862346,,0,0,LIVE
2025-08-22 16:29:00+00:00,6479.979616447441,6482.109885557609,37.302001094672214,,0,0,LIVE
2025-08-22 16:30:00+00:00,6480.261923903565,6482.027991694979,45.36761937703757,,0,0,LIVE
2025-08-22 16:31:00+00:00,6480.870385258328,6482.1205639145055,50.19731199779697,,0,0,LIVE
2025-08-22 16:32:00+00:00,6481.399188534255,6482.228129255981,50.86556660512103,,0,0,LIVE
2025-08-22 16:33:00+00:00,6481.754924415531,6482.301640755411,50.141018848795326,,0,0,LIVE
2025-08-22 16:34:00+00:00,6481.920496767635,6482.320532112039,48.648475199104794,,0,0,LIVE
2025-08-22 16:35:00+00:00,6482.271497485938,6482.432862387083,51.742430335090255,,0,0,LIVE
2025-08-22 16:36:00+00:00,6482.877831377952,6482.677351683552,56.02264648389665,,0,0,LIVE
2025-08-22 16:37:00+00:00,6483.01609107174,6482.755699142262,51.138045798439414,,0,0,LIVE
