[INFO] 2025-09-12 15:24:50 Enabled arms: trend,breakout
[INFO] 2025-09-12 15:24:50 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[INFO] 2025-09-12 15:24:50 [PING 1] clientId=29 connected: False
[INFO] 2025-09-12 15:24:50 Connected 127.0.0.1:7497 clientId=29 | Market data type: LIVE
[INFO] 2025-09-12 15:24:50 Using contract: ESU5  (conId=637533641)
[INFO] 2025-09-12 15:24:50 [WARMUP] Fetching 5d of 1m bars...
[INFO] 2025-09-12 15:24:52 [WARMUP] Loaded 6865 historical 1m bars.
[REGIME] ADX=15.5  BBbw=0.0003  ATR%=0.000096  (ok=False)
[INFO] 2025-09-12 15:24:53 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.852 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.852
[HB] 2025-09-12 15:25:31 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:32 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:34 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:35 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:36 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:37 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:38 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[REGIME] ADX=24.3  BBbw=0.0002  ATR%=0.000030  (ok=False)
[HB] 2025-09-12 15:25:39 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:40 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:41 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:42 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:43 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:44 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:46 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:47 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:48 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:49 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:50 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:51 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
[HB] 2025-09-12 15:25:52 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=no
