============================================================
[START] 2025-09-09 14:26:42
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --conId 637533641 --tp-ladder 1.0R:50,2.0R:50 --no-confirm --place-orders --debug-regime --persist-chooser --chooser-model-path C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
============================================================
[LOG] 2025-09-09 14:26:43 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[HB] 2025-09-09 14:27:49 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:50 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:51 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:52 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:53 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:54 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:55 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:56 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:57 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:58 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:59 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:00 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:01 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:02 CT Arm=macd_mom Gate=no InTrade=N
[REGIME] ADX=31.2  BBbw=0.0002  ATR%=0.000052  (ok=False)
[HB] 2025-09-09 14:28:03 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:04 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:05 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:06 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:07 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:08 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:09 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:10 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:11 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:12 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:13 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:14 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:16 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:17 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:18 CT Arm=ema Gate=no InTrade=N
[REGIME] ADX=30.0  BBbw=0.0001  ATR%=0.000047  (ok=False)
[HB] 2025-09-09 14:28:19 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:20 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:21 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:22 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:23 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:24 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:25 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:26 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:28:27 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:28:28 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:28:29 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:28:30 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:28:31 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:28:32 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:33 CT Arm=ema Gate=no InTrade=N
[REGIME] ADX=29.2  BBbw=0.0001  ATR%=0.000048  (ok=False)
[HB] 2025-09-09 14:28:34 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:35 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:36 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:37 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:38 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:39 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:40 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:28:41 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:42 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:43 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:44 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:45 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:46 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:47 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:48 CT Arm=macd_mom Gate=no InTrade=N
[REGIME] ADX=38.4  BBbw=0.0002  ATR%=0.000049  (ok=False)
[HB] 2025-09-09 14:28:50 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:51 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:52 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:53 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:54 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:55 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:56 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:57 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:58 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:28:59 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:00 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:01 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:02 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:03 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:04 CT Arm=macd_mom Gate=no InTrade=N
[REGIME] ADX=54.7  BBbw=0.0002  ATR%=0.000059  (ok=False)
[HB] 2025-09-09 14:29:05 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:06 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:07 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:08 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:09 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:10 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:11 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:12 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:13 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:14 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:15 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:16 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:17 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:18 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:19 CT Arm=vwap_bounce Gate=no InTrade=N
[REGIME] ADX=66.0  BBbw=0.0003  ATR%=0.000056  (ok=False)
[HB] 2025-09-09 14:29:20 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:22 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:23 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:24 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:25 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:29:26 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:27 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:28 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:29 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:30 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:31 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:32 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:33 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:34 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:35 CT Arm=macd_mom Gate=no InTrade=N
[REGIME] ADX=45.9  BBbw=0.0002  ATR%=0.000059  (ok=False)
[HB] 2025-09-09 14:29:36 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:37 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:38 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:39 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:40 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:41 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:42 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:43 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:44 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:45 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:46 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:47 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:48 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:49 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:50 CT Arm=macd_mom Gate=no InTrade=N
[REGIME] ADX=48.4  BBbw=0.0002  ATR%=0.000052  (ok=False)
[HB] 2025-09-09 14:29:51 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:52 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:53 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:55 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:56 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:57 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:58 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:29:59 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:30:00 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:30:01 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:02 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:03 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:04 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:05 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:06 CT Arm=vwap_bounce Gate=no InTrade=N
[REGIME] ADX=51.0  BBbw=0.0002  ATR%=0.000051  (ok=False)
[HB] 2025-09-09 14:30:07 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:08 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:09 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:10 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:11 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:12 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:13 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:14 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:15 CT Arm=vwap_bounce Gate=no InTrade=N
[HB] 2025-09-09 14:30:16 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:17 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:18 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:19 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:20 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:21 CT Arm=ema Gate=no InTrade=N
[REGIME] ADX=33.7  BBbw=0.0002  ATR%=0.000050  (ok=False)
[HB] 2025-09-09 14:30:22 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:23 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:24 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:25 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:26 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:28 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:29 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:30 CT Arm=ema Gate=no InTrade=N
[HB] 2025-09-09 14:30:31 CT Arm=ema Gate=no InTrade=N
