============================================================
[START] 2025-09-09 13:27:55
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --tp-ladder 1.0R:50,2.0R:50 --no-confirm --place-orders --debug-regime --conId 637533641 --persist-chooser --chooser-model-path C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
============================================================
[LOG] 2025-09-09 13:27:55 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[HB] 2025-09-09 13:29:00 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:01 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:02 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:03 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:04 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:05 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:06 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:07 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:08 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:09 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:10 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:11 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:12 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:13 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:15 CT Arm=rsi_mr Gate=no InTrade=N
[REGIME] ADX=27.8  BBbw=0.0002  ATR%=0.000059  (ok=False)
[HB] 2025-09-09 13:29:16 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:17 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:18 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:19 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:20 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:21 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:22 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:23 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:24 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:25 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:26 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:27 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:28 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:29 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:30 CT Arm=rsi_mr Gate=no InTrade=N
[REGIME] ADX=22.4  BBbw=0.0002  ATR%=0.000059  (ok=False)
[HB] 2025-09-09 13:29:31 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:32 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:33 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:34 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:35 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:36 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:37 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:38 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:39 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:40 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:41 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:42 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:43 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:44 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:46 CT Arm=rsi_mr Gate=no InTrade=N
[REGIME] ADX=20.1  BBbw=0.0002  ATR%=0.000052  (ok=False)
[HB] 2025-09-09 13:29:47 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:48 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:49 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:50 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:51 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:52 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:53 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:54 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:55 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:56 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:57 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:29:58 CT Arm=rsi_mr Gate=no InTrade=N
