Time,Side,Close
2025-08-27 13:34:00+0000,LONG,6478.25
2025-08-27 13:51:00+0000,SHORT,6477.5
2025-08-27 13:55:00+0000,LONG,6482.0
2025-08-27 14:54:00+0000,LONG,6491.25
