Time,Playbook,Side,Close,Context
2025-09-02 17:34:00+0000,meanrev,SHORT,6403.75,trendH/volH/bandH|mid
2025-09-02 18:05:00+0000,trend,SHORT,6407.75,trendM/volM/bandM|mid
2025-09-02 18:17:00+0000,meanrev,LONG,6403.5,trendM/volM/bandM|mid
2025-09-02 18:18:00+0000,meanrev,LONG,6403.25,trendM/volM/bandM|mid
