Time,Open,High,Low,Close
2025-08-19 05:11:00-05:00,6464.0,6464.75,6464.0,6464.5
2025-08-19 05:12:00-05:00,6464.25,6464.25,6464.0,6464.0
2025-08-19 05:13:00-05:00,6464.0,6464.25,6463.75,6464.0
2025-08-19 05:14:00-05:00,6464.0,6464.25,6463.5,6463.5
2025-08-19 05:15:00-05:00,6463.75,6464.0,6463.5,6464.0
2025-08-19 05:16:00-05:00,6464.25,6464.5,6463.0,6463.0
2025-08-19 05:17:00-05:00,6463.0,6463.75,6462.5,6463.75
2025-08-19 05:18:00-05:00,6463.5,6463.5,6463.0,6463.5
2025-08-19 05:19:00-05:00,6463.5,6463.5,6463.25,6463.5
2025-08-19 05:20:00-05:00,6463.75,6464.0,6463.5,6463.75
2025-08-19 05:21:00-05:00,6463.5,6463.75,6463.0,6463.75
2025-08-19 05:22:00-05:00,6463.75,6464.5,6463.75,6464.5
2025-08-19 05:23:00-05:00,6464.5,6464.5,6463.25,6463.25
2025-08-19 05:24:00-05:00,6463.25,6463.5,6463.0,6463.25
2025-08-19 05:25:00-05:00,6463.25,6463.5,6463.25,6463.25
2025-08-19 05:26:00-05:00,6463.25,6464.0,6463.25,6463.75
2025-08-19 05:27:00-05:00,6463.75,6464.0,6463.5,6464.0
2025-08-19 05:28:00-05:00,6464.0,6464.0,6463.75,6464.0
2025-08-19 05:29:00-05:00,6464.0,6464.25,6463.75,6464.0
2025-08-19 05:30:00-05:00,6464.0,6464.0,6463.0,6463.25
2025-08-19 05:31:00-05:00,6463.25,6464.75,6463.0,6463.75
2025-08-19 05:32:00-05:00,6464.0,6464.0,6463.5,6463.5
2025-08-19 05:33:00-05:00,6463.5,6463.75,6463.0,6463.25
2025-08-19 05:34:00-05:00,6463.25,6463.25,6463.0,6463.0
2025-08-19 05:35:00-05:00,6463.0,6463.75,6462.5,6463.5
2025-08-19 05:36:00-05:00,6463.75,6464.0,6463.75,6463.75
2025-08-19 05:37:00-05:00,6463.75,6464.0,6463.5,6463.5
2025-08-19 05:38:00-05:00,6463.75,6463.75,6463.5,6463.75
2025-08-19 05:39:00-05:00,6463.5,6463.75,6463.5,6463.5
2025-08-19 05:40:00-05:00,6463.5,6463.75,6463.25,6463.5
2025-08-19 05:41:00-05:00,6463.25,6463.5,6462.5,6462.75
2025-08-19 05:42:00-05:00,6463.0,6463.0,6461.0,6462.25
