EntryTime,ExitTime,Side,EntryPrice,ExitPrice,Qty,PnL_raw,StrategyTag
2025-08-15 14:09:00+00:00,2025-08-15 14:19:00+00:00,LONG,6480.5,6477.25,1,-162.5,LIVE
2025-08-15 14:15:00+00:00,2025-08-15 14:19:00+00:00,LONG,6482.25,6477.25,1,-250.0,LIVE
2025-08-15 14:19:00+00:00,2025-08-15 14:30:00+00:00,SHORT,6477.5,6479.75,1,-112.5,LIVE
2025-08-15 14:21:00+00:00,2025-08-15 14:30:00+00:00,SHORT,6475.75,6479.75,1,-200.0,LIVE
2025-08-15 14:25:00+00:00,2025-08-15 14:30:00+00:00,SHORT,6473.75,6479.75,1,-300.0,LIVE
2025-08-15 14:30:00+00:00,2025-08-15 14:31:00+00:00,LONG,6478.75,6477.0,1,-87.5,LIVE
2025-08-15 14:31:00+00:00,2025-08-15 15:13:00+00:00,SHORT,6477.0,6475.25,1,87.5,LIVE
2025-08-15 14:33:00+00:00,2025-08-15 15:13:00+00:00,SHORT,6474.75,6475.25,1,-25.0,LIVE
2025-08-15 14:45:00+00:00,2025-08-15 15:13:00+00:00,SHORT,6473.25,6475.25,1,-100.0,LIVE
2025-08-15 15:13:00+00:00,2025-08-15 15:24:00+00:00,LONG,6475.5,6471.25,1,-212.5,LIVE
2025-08-15 15:16:00+00:00,2025-08-15 15:24:00+00:00,LONG,6476.0,6471.25,1,-237.5,LIVE
2025-08-15 15:17:00+00:00,2025-08-15 15:24:00+00:00,LONG,6477.25,6471.25,1,-300.0,LIVE
2025-08-15 15:24:00+00:00,2025-08-15 15:34:00+00:00,SHORT,6471.75,6476.0,1,-212.5,LIVE
2025-08-15 15:27:00+00:00,2025-08-15 15:34:00+00:00,SHORT,6471.25,6476.0,1,-237.5,LIVE
2025-08-15 15:34:00+00:00,2025-08-15 15:37:00+00:00,LONG,6475.25,6472.5,1,-137.5,LIVE
2025-08-15 15:37:00+00:00,2025-08-15 15:51:00+00:00,SHORT,6472.5,6474.5,1,-100.0,LIVE
2025-08-15 15:39:00+00:00,2025-08-15 15:51:00+00:00,SHORT,6469.5,6474.5,1,-250.0,LIVE
2025-08-15 15:40:00+00:00,2025-08-15 15:51:00+00:00,SHORT,6467.25,6474.5,1,-362.5,LIVE
2025-08-15 15:51:00+00:00,2025-08-15 16:01:00+00:00,LONG,6474.25,6468.75,1,-275.0,LIVE
2025-08-15 15:53:00+00:00,2025-08-15 16:01:00+00:00,LONG,6477.5,6468.75,1,-437.5,LIVE
2025-08-15 16:01:00+00:00,2025-08-15 16:03:52.629435+00:00,SHORT,6469.0,6468.25,1,37.5,LIVE
