Time,EMA_Fast,EMA_Slow,RSI,Signal,PosBefore,PosAfter,StrategyTag
2025-08-15 16:07:00+00:00,6471.5,6471.5,50.0,,0,0,LIVE
2025-08-15 16:08:00+00:00,6471.666666666666,6471.571428571429,50.0,,0,0,LIVE
2025-08-15 16:09:00+00:00,6471.740740740741,6471.6122448979595,50.0,,0,0,LIVE
2025-08-15 16:10:00+00:00,6472.187242798354,6471.815840621964,50.0,,0,0,LIVE
2025-08-15 16:11:00+00:00,6472.478966620943,6471.976236753205,50.0,,0,0,LIVE
2025-08-15 16:12:00+00:00,6473.094751816288,6472.28802372909,50.0,,0,0,LIVE
2025-08-15 16:13:00+00:00,6473.462584746002,6472.522497659653,50.0,,0,0,LIVE
2025-08-15 16:14:00+00:00,6474.026454802446,6472.853688358733,50.0,,0,0,LIVE
2025-08-15 16:15:00+00:00,6473.576131513013,6472.77238470552,50.0,,0,0,LIVE
2025-08-15 16:16:00+00:00,6473.392546732343,6472.770252828804,50.0,,0,0,LIVE
2025-08-15 16:17:00+00:00,6472.583091902934,6472.4826097022515,50.0,,0,0,LIVE
2025-08-15 16:18:00+00:00,6472.064627035616,6472.269980206798,50.0,,0,0,LIVE
2025-08-15 16:19:00+00:00,6471.828043249923,6472.149029710912,50.0,,0,0,LIVE
2025-08-15 16:20:00+00:00,6471.810700305496,6472.111026881302,50.0,,0,0,LIVE
2025-08-15 16:21:00+00:00,6471.297211348719,6471.862357654511,39.69100517522578,,0,0,LIVE
